title,url,height_cm,price_gbp,media,width_cm
Combe Martin 1 (Emerald) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-1-emerald-by-phil-ashcroft,31,600.00,"https://static.wixstatic.com/media/23a2ed_5de0e407f4ee4a19bd16464a0c19bb86~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_5de0e407f4ee4a19bd16464a0c19bb86~mv2.jpg", 41
Combe Martin (Catalina Red Study) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-catalina-red-study-by-phil-ashcroft,76 ,"1,500.00","https://static.wixstatic.com/media/23a2ed_5145eb41988f460583a7becc20cf0198~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_5145eb41988f460583a7becc20cf0198~mv2.jpg", 61
Combe Martin 2 (Emerald) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-2-emerald-by-phil-ashcroft,41 ,600.00,"https://static.wixstatic.com/media/23a2ed_730fdda69b8442669456194eb8459032~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_730fdda69b8442669456194eb8459032~mv2.jpg", 31
Blue Lagoon Abereiddy (landscape) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/blue-lagoon-abereiddy-landscape-by-phil-ashcroft,121 ,"4,500.00","https://static.wixstatic.com/media/23a2ed_648b584df61046fdae00e40cfd9e43a1~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_648b584df61046fdae00e40cfd9e43a1~mv2.jpg", 91
Moonbeams I by Phil Ashcroft,https://www.bearspace.co.uk/product-page/moonbeams-i-by-phil-ashcroft,80 ,"1,200.00","https://static.wixstatic.com/media/23a2ed_fa302ec55fdb41a0b405762cad95f2bd~mv2.jpg/v1/fill/w_899,h_1200,al_c,q_85/23a2ed_fa302ec55fdb41a0b405762cad95f2bd~mv2.jpg", 60
Combe Martin (study) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-study-by-phil-ashcroft-1,50 ,740.00,"https://static.wixstatic.com/media/23a2ed_f42652f7719a4a0bb8957cf1c17fc642~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_f42652f7719a4a0bb8957cf1c17fc642~mv2.jpg", 40
Tunnels Beaches 2 (Ilfracombe) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/tunnels-beaches-2-ilfracombe-by-phil-ashcroft,61 ,800.00,"https://static.wixstatic.com/media/23a2ed_7cca8a7053fe4701a41062131cba213c~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_7cca8a7053fe4701a41062131cba213c~mv2.jpg", 46
Combe Martin I by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-study-by-phil-ashcroft,102 ,"2,400.00","https://static.wixstatic.com/media/23a2ed_7c002305ec8a4dc6ac27629c75f9b712~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_7c002305ec8a4dc6ac27629c75f9b712~mv2.jpg", 76
Tunnels Beaches 1 (Ilfracombe) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/tunnels-beaches-1-ilfracombe-by-phil-ashcroft,61 ,800.00,"https://static.wixstatic.com/media/23a2ed_869b68db8d0145bbb0cdafec73ecef99~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_869b68db8d0145bbb0cdafec73ecef99~mv2.jpg", 46
Blue Lagoon Abereiddy 2 (Landscape) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/blue-lagoon-abereiddy-2-landscape-by-phil-ashcroft,102 ,"2,200.00","https://static.wixstatic.com/media/23a2ed_f486fa2d863747f7b5d435206b6ab2ea~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_f486fa2d863747f7b5d435206b6ab2ea~mv2.jpg", 76
Combe Martin 2 (Red Purple) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/combe-martin-2-red-purple-by-phil-ashcroft,77 ,"1,200.00","https://static.wixstatic.com/media/23a2ed_53fc9b8e8f8c4269a17a0563e413948b~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_53fc9b8e8f8c4269a17a0563e413948b~mv2.jpg", 61
Collage 3 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,7 ,175.00,"https://static.wixstatic.com/media/23a2ed_cb23b55dd2b3431eaac9ec74c1f430c5~mv2.jpg/v1/fill/w_453,h_680,al_c,lg_1,q_85/23a2ed_cb23b55dd2b3431eaac9ec74c1f430c5~mv2.jpg", 21
Collage 2 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,7 ,175.00,"https://static.wixstatic.com/media/23a2ed_9cad4c1ce9e64f5b8c58ae2a8840e5d6~mv2.jpg/v1/fill/w_453,h_680,al_c,lg_1,q_85/23a2ed_9cad4c1ce9e64f5b8c58ae2a8840e5d6~mv2.jpg", 21
Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,7 ,175.00,"https://static.wixstatic.com/media/23a2ed_3289624bfcde4ba9a121ff774278e369~mv2.jpg/v1/fill/w_486,h_649,al_c,lg_1,q_85/23a2ed_3289624bfcde4ba9a121ff774278e369~mv2.jpg", 21
C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_f9996c05b8a9441e9526841211a93744~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_f9996c05b8a9441e9526841211a93744~mv2.jpg",30
C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_19b6d189a8c94d3b90cea4bc4719759e~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_19b6d189a8c94d3b90cea4bc4719759e~mv2.jpg",30
P1 by Olly Fathers,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_752c2d574dcc4dde80f596430d3b943d~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_752c2d574dcc4dde80f596430d3b943d~mv2.jpg",30
P4 by Olly Fathers,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_5957508157be47fa95c34c534b2fcb3f~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_5957508157be47fa95c34c534b2fcb3f~mv2.jpg",30
P8 by Olly Fathers,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_121a1d5cfe104caa8dafa9dafb845246~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_121a1d5cfe104caa8dafa9dafb845246~mv2.jpg",30
P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30,240.00,"https://static.wixstatic.com/media/23a2ed_70a6448c874f484591af6573d56286d2~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_70a6448c874f484591af6573d56286d2~mv2.jpg",30
Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,42,340.00,"https://static.wixstatic.com/media/23a2ed_dd4bdef89dcc4ab19f379bede547b559~mv2_d_1497_1206_s_2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_dd4bdef89dcc4ab19f379bede547b559~mv2_d_1497_1206_s_2.jpg",34
Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,110X130,"1,600.00","https://static.wixstatic.com/media/23a2ed_f7499fc86dba4fab94607a14fe363c14~mv2.jpg/v1/fill/w_758,h_1012,al_c,q_85/23a2ed_f7499fc86dba4fab94607a14fe363c14~mv2.jpg",110X130
The Ephemeral Isles by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,90,"1,400.00","https://static.wixstatic.com/media/23a2ed_594efaadb134447192b1a5a0e160bf77~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_594efaadb134447192b1a5a0e160bf77~mv2.jpg",120
OFF ROAD by Lucy Baker,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,30 X40,340.00,"https://static.wixstatic.com/media/23a2ed_ea87b5dcf9f14ba88b54b5f85ab24123~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_ea87b5dcf9f14ba88b54b5f85ab24123~mv2.jpg",30 X40
To The Zenith's Height by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,90,"1,400.00","https://static.wixstatic.com/media/23a2ed_37b4ccff54524d4d899083925c473ae2~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_37b4ccff54524d4d899083925c473ae2~mv2.jpg",120
Kin by Vic Wright,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,16cm ,440.00,"https://static.wixstatic.com/media/23a2ed_7e793706d96d4c699ff3c7988467f101~mv2.jpg/v1/fill/w_791,h_1188,al_c,q_85/23a2ed_7e793706d96d4c699ff3c7988467f101~mv2.jpg", 14
Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,30 X40,,"https://static.wixstatic.com/media/23a2ed_6ad5a22d1aec4a68b03c3d82fb5b8114~mv2_d_3003_2217_s_2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_6ad5a22d1aec4a68b03c3d82fb5b8114~mv2_d_3003_2217_s_2.jpg",30 X40
Morning Came by Dominic Bradnum,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,40cm ,640.00,"https://static.wixstatic.com/media/23a2ed_99764746ef6b4abaad31f376a076a7de~mv2_d_2159_1745_s_2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_99764746ef6b4abaad31f376a076a7de~mv2_d_2159_1745_s_2.jpg", 50
The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,110X130,"1,600.00","https://static.wixstatic.com/media/23a2ed_eaedcadb7cae4f20a39b2d44272e50cf~mv2_d_1408_1656_s_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_eaedcadb7cae4f20a39b2d44272e50cf~mv2_d_1408_1656_s_2.jpg",110X130
Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,90,"1,400.00","https://static.wixstatic.com/media/23a2ed_5bd7fe254c0a46b18be161c640e3afd4~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_5bd7fe254c0a46b18be161c640e3afd4~mv2.jpg",120
Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,127 ,"3,400.00","https://static.wixstatic.com/media/23a2ed_8dcf6c12ae584fcc95a4445661f43e52~mv2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_8dcf6c12ae584fcc95a4445661f43e52~mv2.jpg", 53
Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120,"4,000.00","https://static.wixstatic.com/media/23a2ed_e73361b48780428d8184654a48c3afa8~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_e73361b48780428d8184654a48c3afa8~mv2.jpg",120
Tommy by Olly Fathers,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,100 ,"1,940.00","https://static.wixstatic.com/media/23a2ed_5586bde51a264274bf85cd792ef46f67~mv2.jpg/v1/fill/w_799,h_1200,al_c,q_85/23a2ed_5586bde51a264274bf85cd792ef46f67~mv2.jpg", 70
Constructed Veneer IV by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,38,"1,100.00","https://static.wixstatic.com/media/23a2ed_7dbc907e0df4476aa5b7ad8126e839b8~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_7dbc907e0df4476aa5b7ad8126e839b8~mv2.jpg",32
Constructed Veneer V by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,30,940.00,"https://static.wixstatic.com/media/23a2ed_5528cda2aa8849e389371be2bad7ff3c~mv2.jpg/v1/fill/w_996,h_996,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_5528cda2aa8849e389371be2bad7ff3c~mv2.jpg",33
FRAGMENTATION No.17 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,70 ,"1,200.00","https://static.wixstatic.com/media/23a2ed_38c74fdfe7c44e12bfdae4e10169c58f~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_38c74fdfe7c44e12bfdae4e10169c58f~mv2.jpg", 54
